messageIndex,errorPosition,receivedBits,syndromeBefore,syndromeAfter,lookupHit,correctedPosition,status,correctedCodeword,decodedMessage
17,8,000000101010110,1100,0000,true,8,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,9,000000100110110,0110,0000,true,9,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,10,000000100000110,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,11,000000100011110,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,12,000000100010010,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,13,000000100010100,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
17,14,000000100010111,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000100010110,00000010001
18,0,100000100100011,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
18,1,010000100100011,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
18,2,001000100100011,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
18,3,000100100100011,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
18,4,000010100100011,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
18,5,000001100100011,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
18,6,000000000100011,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000100100011,00000010010
