figureName,caseId,seriesLabel,payloadGroup,codeType,configuration,configurationId,snrIndex,snr,derivedEbN0Db,actualRate,ber,fer,payloadErrorBits,payloadBitsProcessed,payloadErrorFrames,framesProcessed,sourceBer,sourceFer,plotMetric,plotValue,zeroRemovedForPublication
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,1,0.5,1.434216851622351,0.80645161290322576,0.067589999999999997,0.998,13518,200000,998,1000,0.067589999999999997,0.998,FER,0.998,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,2,1,1.934216851622351,0.80645161290322576,0.055504999999999999,0.98299999999999998,11101,200000,983,1000,0.055504999999999999,0.98299999999999998,FER,0.98299999999999998,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,3,1.5,2.434216851622351,0.80645161290322576,0.04546,0.94699999999999995,9092,200000,947,1000,0.04546,0.94699999999999995,FER,0.94699999999999995,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,4,2,2.934216851622351,0.80645161290322576,0.032870000000000003,0.80300000000000005,6574,200000,803,1000,0.032870000000000003,0.80300000000000005,FER,0.80300000000000005,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,5,2.5,3.434216851622351,0.80645161290322576,0.022370000000000001,0.61699999999999999,4474,200000,617,1000,0.022370000000000001,0.61699999999999999,FER,0.61699999999999999,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,6,3,3.934216851622351,0.80645161290322576,0.011135000000000001,0.33700000000000002,2227,200000,337,1000,0.011135000000000001,0.33700000000000002,FER,0.33700000000000002,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,7,3.5,4.4342168516223506,0.80645161290322576,0.0043267259056732742,0.13670539986329461,1266,292600,200,1463,0.0043267259056732742,0.13670539986329461,FER,0.13670539986329461,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,8,4,4.9342168516223506,0.80645161290322576,0.0010595850328072353,0.035467281432878167,1195,1127800,200,5639,0.0010595850328072353,0.035467281432878167,FER,0.035467281432878167,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,9,4.5,5.4342168516223506,0.80645161290322576,0.00020115724982981619,0.0068073519400953025,1182,5876000,200,29380,0.00020115724982981619,0.0068073519400953025,FER,0.0068073519400953025,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,10,5,5.9342168516223506,0.80645161290322576,1.7099999999999999e-05,0.00058,171,10000000,29,50000,1.7099999999999999e-05,0.00058,FER,0.00058,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无突发,200,255,无突发,NONE_L0,11,5.5,6.4342168516223506,0.80645161290322576,4.9999999999999998e-07,2.0000000000000002e-05,5,10000000,1,50000,4.9999999999999998e-07,2.0000000000000002e-05,FER,2.0000000000000002e-05,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,0,0,0.93421685162235091,0.80645161290322576,0.120265,1,24053,200000,1000,1000,0.120265,1,FER,1,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,1,0.5,1.434216851622351,0.80645161290322576,0.10947,1,21894,200000,1000,1000,0.10947,1,FER,1,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,2,1,1.934216851622351,0.80645161290322576,0.100205,1,20041,200000,1000,1000,0.100205,1,FER,1,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,3,1.5,2.434216851622351,0.80645161290322576,0.090745000000000006,1,18149,200000,1000,1000,0.090745000000000006,1,FER,1,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,4,2,2.934216851622351,0.80645161290322576,0.083460000000000006,1,16692,200000,1000,1000,0.083460000000000006,1,FER,1,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,5,2.5,3.434216851622351,0.80645161290322576,0.074874999999999997,1,14975,200000,1000,1000,0.074874999999999997,1,FER,1,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,6,3,3.934216851622351,0.80645161290322576,0.069794999999999996,0.997,13959,200000,997,1000,0.069794999999999996,0.997,FER,0.997,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,7,3.5,4.4342168516223506,0.80645161290322576,0.065225000000000005,0.996,13045,200000,996,1000,0.065225000000000005,0.996,FER,0.996,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,8,4,4.9342168516223506,0.80645161290322576,0.059944999999999998,0.98899999999999999,11989,200000,989,1000,0.059944999999999998,0.98899999999999999,FER,0.98899999999999999,false
s16_nm_k200_fer_overview,K200_M255K207,255整块-无交织突发,200,255,无交织突发,NONE_LREP,9,4.5,5.4342168516223506,0.80645161290322576,0.058035000000000003,0.98099999999999998,11607,200000,981,1000,0.058035000000000003,0.98099999999999998,FER,0.98099999999999998,false
