caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-S200,6.2999999999999998,-12,0,14,UNIFORM_RANDOM,5000,1000000,15845,4403,0.015845,0.8806,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,15,UNIFORM_RANDOM,5000,1000000,17132,4510,0.017132,0.902,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,16,UNIFORM_RANDOM,5000,1000000,18042,4586,0.018042,0.9172,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,20,UNIFORM_RANDOM,5000,1000000,22436,4822,0.022436,0.9644,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,24,UNIFORM_RANDOM,5000,1000000,26785,4910,0.026785,0.982,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,29,UNIFORM_RANDOM,5000,1000000,32358,4968,0.032358,0.9936,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,30,UNIFORM_RANDOM,5000,1000000,33102,4971,0.033102,0.9942,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,31,UNIFORM_RANDOM,5000,1000000,34620,4979,0.03462,0.9958,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,32,UNIFORM_RANDOM,5000,1000000,35316,4973,0.035316,0.9946,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,48,UNIFORM_RANDOM,5000,1000000,52744,5000,0.052744,1.0,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
BCH-S200,6.2999999999999998,-12,0,64,UNIFORM_RANDOM,5000,1000000,70407,5000,0.070407,1.0,RAW_COUNTS,BCH-S200 / -12,BCH-S200|-12|#1f77b4|-|o,true,
